,genres,movie_title,imdb_score,movie_imdb_link
152,"
Animation, Action, Adventure            ",Spider-Man: Into the Spider-Verse,8.4,https://www.imdb.com/title/tt4633694
153,"
Adventure, Family, Fantasy            ",The Wizard of Oz,8.1,https://www.imdb.com/title/tt0032138
154,"
Action, Drama, Mystery            ",Watchmen,7.6,https://www.imdb.com/title/tt0409459
155,"
Adventure, Family, Fantasy            ",Harry Potter and the Deathly Hallows: Part 1,7.7,https://www.imdb.com/title/tt0926084
156,"
Action, Sci-Fi            ",Terminator 2: Judgment Day,8.6,https://www.imdb.com/title/tt0103064
157,"
Crime, Drama            ",Once Upon a Time in America,8.3,https://www.imdb.com/title/tt0087843
158,"
Comedy, Drama            ",The Truman Show,8.2,https://www.imdb.com/title/tt0120382
159,"
Action, Drama, History            ",Dunkirk,7.8,https://www.imdb.com/title/tt5013056
160,"
Horror, Thriller            ",Night of the Living Dead,7.8,https://www.imdb.com/title/tt0063350
161,"
Biography, Comedy, Drama            ",Green Book,8.2,https://www.imdb.com/title/tt6966692
162,"
Action, Drama, Sci-Fi            ",V for Vendetta,8.2,https://www.imdb.com/title/tt0434409
163,"
Action, Drama, Sci-Fi            ",Logan,8.1,https://www.imdb.com/title/tt3315342
164,"
Biography, Comedy, Drama            ",The Big Short,7.8,https://www.imdb.com/title/tt1596363
165,"
Action, Adventure, Sci-Fi            ",The Fifth Element,7.6,https://www.imdb.com/title/tt0119116
166,"
Action, Crime, Drama            ",Sicario,7.6,https://www.imdb.com/title/tt3397884
167,"
Drama            ",Boogie Nights,7.9,https://www.imdb.com/title/tt0118749
168,"
Drama, Thriller            ",Misery,7.8,https://www.imdb.com/title/tt0100157
169,"
Comedy, Horror            ",Shaun of the Dead,7.9,https://www.imdb.com/title/tt0365748
170,"
Comedy, Horror            ",What We Do in the Shadows,7.6,https://www.imdb.com/title/tt3416742
171,"
Action, Sci-Fi            ",The Terminator,8.1,https://www.imdb.com/title/tt0088247
172,"
Drama, Mystery, Sci-Fi            ",Arrival,7.9,https://www.imdb.com/title/tt2543164
173,"
Action, Crime, Drama            ",Man on Fire,7.7,https://www.imdb.com/title/tt0328107
174,"
Crime, Drama            ",City of God,8.6,https://www.imdb.com/title/tt0317248
175,"
Comedy            ",Ferris Bueller's Day Off,7.8,https://www.imdb.com/title/tt0091042
176,"
Action, Crime, Drama            ",Kill Bill: Vol. 1,8.2,https://www.imdb.com/title/tt0266697
177,"
Action, Adventure, Sci-Fi            ",Star Trek,7.9,https://www.imdb.com/title/tt0796366
178,"
Comedy, Drama, Romance            ",Life Is Beautiful,8.6,https://www.imdb.com/title/tt0118799
179,"
Crime, Thriller            ",Reservoir Dogs,8.3,https://www.imdb.com/title/tt0105236
180,"
Action, Adventure, Horror            ",Predator,7.8,https://www.imdb.com/title/tt0093773
181,"
Crime, Drama            ",American History X,8.5,https://www.imdb.com/title/tt0120586
182,"
Comedy, Drama, Romance            ",A Man Called Ove,7.7,https://www.imdb.com/title/tt4080728
183,"
Animation, Adventure, Comedy            ",Ratatouille,8.1,https://www.imdb.com/title/tt0382932
184,"
Adventure, Western            ","The Good, the Bad and the Ugly",8.8,https://www.imdb.com/title/tt0060196
185,"
Action, Adventure, War            ",The Dirty Dozen,7.7,https://www.imdb.com/title/tt0061578
186,"
Action, Adventure            ",Indiana Jones and the Raiders of the Lost Ark,8.4,https://www.imdb.com/title/tt0082971
187,"
Action, Adventure, Sci-Fi            ",Edge of Tomorrow,7.9,https://www.imdb.com/title/tt1631867
188,"
Drama, War            ",Full Metal Jacket,8.3,https://www.imdb.com/title/tt0093058
189,"
Drama, Mystery            ",The Father,8.2,https://www.imdb.com/title/tt10272386
190,"
Action, Drama            ",300,7.6,https://www.imdb.com/title/tt0416449
191,"
Crime, Drama, Thriller            ",Nightcrawler,7.8,https://www.imdb.com/title/tt2872718
192,"
Animation, Adventure, Comedy            ","Monsters, Inc.",8.1,https://www.imdb.com/title/tt0198781
193,"
Drama            ",The Perks of Being a Wallflower,8.0,https://www.imdb.com/title/tt1659337
194,"
Action, Thriller            ",Die Hard,8.2,https://www.imdb.com/title/tt0095016
195,"
Biography, Drama, History            ",Hamilton,8.4,https://www.imdb.com/title/tt8503618
196,"
Action, Adventure, Comedy            ",Thor: Ragnarok,7.9,https://www.imdb.com/title/tt3501632
197,"
Drama, Sci-Fi, Thriller            ",Ex Machina,7.7,https://www.imdb.com/title/tt0470752
198,"
Biography, Crime, Drama            ",The Irishman,7.8,https://www.imdb.com/title/tt1302006
199,"
Biography, Drama, Music            ",Amadeus,8.4,https://www.imdb.com/title/tt0086879
200,"
Comedy, Drama, Music            ",La La Land,8.0,https://www.imdb.com/title/tt3783958
201,"
Biography, Crime, Drama            ",Catch Me If You Can,8.1,https://www.imdb.com/title/tt0264464
202,"
Drama, Romance            ",Blue Is the Warmest Colour,7.7,https://www.imdb.com/title/tt2278871
