,movie_title,year,certificate,time_minute,genres,imdb_score,movie_imdb_link,metascore,vote
75,Thirteen Lives,2022,PG-13,147,"
Action, Adventure, Biography            ",7.8,https://www.imdb.com/title/tt12262116,66,48626
76,Scarface,1983,R,170,"
Crime, Drama            ",8.3,https://www.imdb.com/title/tt0086250,65,835762
77,Harry Potter and the Goblet of Fire,2005,PG-13,157,"
Adventure, Family, Fantasy            ",7.7,https://www.imdb.com/title/tt0330373,81,623202
78,Black Swan,2010,R,108,"
Drama, Thriller            ",8.0,https://www.imdb.com/title/tt0947798,79,764367
79,Guardians of the Galaxy,2014,PG-13,121,"
Action, Adventure, Comedy            ",8.0,https://www.imdb.com/title/tt2015381,76,1170957
80,Call Me by Your Name,2017,R,132,"
Drama, Romance            ",7.8,https://www.imdb.com/title/tt5726616,93,271253
81,No Country for Old Men,2007,R,122,"
Crime, Drama, Thriller            ",8.2,https://www.imdb.com/title/tt0477348,92,966611
82,Donnie Darko,2001,R,113,"
Drama, Mystery, Sci-Fi            ",8.0,https://www.imdb.com/title/tt0246578,88,799140
83,The Prestige,2006,PG-13,130,"
Drama, Mystery, Sci-Fi            ",8.5,https://www.imdb.com/title/tt0482571,66,1324450
84,Deadpool,2016,R,108,"
Action, Adventure, Comedy            ",8.0,https://www.imdb.com/title/tt1431045,65,1030352
85,The Big Lebowski,1998,R,117,"
Comedy, Crime            ",8.1,https://www.imdb.com/title/tt0118715,71,805662
86,Taxi Driver,1976,R,114,"
Crime, Drama            ",8.2,https://www.imdb.com/title/tt0075314,94,825894
87,Little Women,2019,PG,135,"
Drama, Romance            ",7.8,https://www.imdb.com/title/tt3281548,91,203317
88,Jojo Rabbit,2019,PG-13,108,"
Comedy, Drama, War            ",7.9,https://www.imdb.com/title/tt2584384,58,385848
89,Requiem for a Dream,2000,R,102,"
Drama            ",8.3,https://www.imdb.com/title/tt0180093,68,838296
90,Deadpool 2,2018,R,119,"
Action, Adventure, Comedy            ",7.7,https://www.imdb.com/title/tt5463162,66,578235
